,driving-mobility,transit-mobility,walking-mobility,date
0,100.0,100.0,100.0,1/13/2020
1,105.09,98.98,107.31,1/14/2020
2,107.12,96.39,105.07,1/15/2020
3,106.87,96.22,97.85,1/16/2020
4,126.04,97.94,139.31,1/17/2020
5,109.37,71.75,141.6,1/18/2020
6,81.84,55.75,80.16,1/19/2020
7,95.9,77.33,95.47,1/20/2020
8,102.03,97.69,95.38,1/21/2020
9,102.48,94.5,97.38,1/22/2020
10,107.3,90.62,104.37,1/23/2020
11,126.54,95.43,136.9,1/24/2020
12,126.06,71.67,177.68,1/25/2020
13,81.01,58.46,82.61,1/26/2020
14,94.82,94.64,88.35,1/27/2020
15,101.87,100.17,105.14,1/28/2020
16,102.33,92.23,101.85,1/29/2020
17,106.46,96.48,105.46,1/30/2020
18,123.51,100.11,127.85,1/31/2020
19,122.67,77.23,159.5,2/1/2020
20,82.0,66.37,86.18,2/2/2020
21,97.96,98.73,103.24,2/3/2020
22,102.95,100.77,97.89,2/4/2020
23,102.43,95.66,95.37,2/5/2020
24,104.75,95.09,96.92,2/6/2020
25,119.05,92.07,120.02,2/7/2020
26,118.18,74.35,151.91,2/8/2020
27,86.95,65.4,91.78,2/9/2020
28,101.01,98.46,97.27,2/10/2020
29,108.83,99.58,105.36,2/11/2020
30,107.88,97.42,109.52,2/12/2020
31,111.35,97.99,104.79,2/13/2020
32,139.51,97.94,148.28,2/14/2020
33,128.63,76.46,165.65,2/15/2020
34,95.94,63.78,104.87,2/16/2020
35,103.66,92.62,108.71,2/17/2020
36,105.77,100.64,100.0,2/18/2020
37,107.76,103.18,105.04,2/19/2020
38,109.77,95.41,106.36,2/20/2020
39,134.37,100.08,144.43,2/21/2020
40,136.53,78.83,186.27,2/22/2020
41,96.44,68.07,103.27,2/23/2020
42,102.86,99.11,103.42,2/24/2020
43,109.86,100.06,101.75,2/25/2020
44,111.89,95.49,108.67,2/26/2020
45,114.45,87.67,99.63,2/27/2020
46,133.35,96.33,133.7,2/28/2020
47,135.12,77.52,173.37,2/29/2020
48,95.76,65.22,97.77,3/1/2020
49,106.9,98.03,101.94,3/2/2020
50,111.88,105.31,109.21,3/3/2020
51,114.55,98.48,115.15,3/4/2020
52,123.12,101.19,126.07,3/5/2020
53,136.33,100.96,148.58,3/6/2020
54,139.62,78.04,189.92,3/7/2020
55,100.62,66.41,117.5,3/8/2020
56,109.45,95.43,115.83,3/9/2020
57,109.36,96.6,113.18,3/10/2020
58,108.54,89.42,108.83,3/11/2020
59,103.58,87.56,110.01,3/12/2020
60,112.51,89.27,117.32,3/13/2020
61,98.81,64.15,114.37,3/14/2020
62,69.75,52.14,75.5,3/15/2020
63,80.13,67.88,84.75,3/16/2020
64,75.9,61.13,80.48,3/17/2020
65,71.31,56.89,71.96,3/18/2020
66,71.19,52.67,76.48,3/19/2020
67,77.53,56.8,83.3,3/20/2020
68,64.83,39.83,65.8,3/21/2020
69,51.28,39.71,56.08,3/22/2020
70,58.34,43.68,62.49,3/23/2020
71,51.51,42.94,58.34,3/24/2020
72,57.03,42.86,70.85,3/25/2020
73,61.42,42.28,76.24,3/26/2020
74,65.23,41.83,72.56,3/27/2020
75,55.11,34.83,60.7,3/28/2020
76,50.99,35.52,62.58,3/29/2020
77,57.63,40.05,60.05,3/30/2020
78,60.31,41.53,66.87,3/31/2020
79,62.71,42.76,70.39,4/1/2020
80,66.06,41.84,79.64,4/2/2020
81,75.11,43.1,84.91,4/3/2020
82,70.27,37.57,82.81,4/4/2020
83,48.64,33.85,54.21,4/5/2020
84,64.39,40.8,75.98,4/6/2020
85,62.05,39.76,72.72,4/7/2020
86,68.54,40.92,81.34,4/8/2020
87,65.15,38.74,70.77,4/9/2020
88,74.72,38.52,79.69,4/10/2020
89,74.67,38.28,87.38,4/11/2020
90,45.04,33.28,51.48,4/12/2020
91,61.25,39.93,64.93,4/13/2020
92,67.14,41.2,70.32,4/14/2020
93,71.8,34.67,71.01,4/15/2020
94,74.2,37.58,76.51,4/16/2020
95,75.91,36.75,77.53,4/17/2020
96,80.04,35.09,83.68,4/18/2020
97,62.47,31.24,70.6,4/19/2020
98,79.53,45.35,87.96,4/20/2020
99,72.2,37.82,75.43,4/21/2020
100,74.58,37.41,71.58,4/22/2020
101,79.95,39.03,81.5,4/23/2020
102,90.75,41.58,91.04,4/24/2020
103,88.27,40.05,98.08,4/25/2020
104,59.79,32.09,61.94,4/26/2020
105,81.75,41.54,91.93,4/27/2020
106,82.65,40.85,89.46,4/28/2020
107,81.11,39.35,84.0,4/29/2020
108,83.38,42.11,85.47,4/30/2020
109,100.47,45.35,103.49,5/1/2020
110,99.59,41.71,110.47,5/2/2020
111,80.69,39.48,93.93,5/3/2020
112,85.8,45.08,93.57,5/4/2020
113,90.3,45.39,95.12,5/5/2020
114,92.29,44.89,98.16,5/6/2020
115,98.31,44.74,105.2,5/7/2020
116,102.44,43.73,98.37,5/8/2020
